portid,fullname,portname,country,iso3,continent,lat,lon,vessel_count_total,industry_top1,industry_top2,industry_top3,locode,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_roro,vessel_count_tanker,share_country_maritime_import,share_country_maritime_export
chokepoint1,Suez Canal,Suez Canal,,,,30.59334599,32.43688221,19787,Mineral Products,Vegetable Products,Chemical & Allied Industries,,5513,5222,1868,766,6418,,
chokepoint10,Oresund Strait,Oresund Strait,,,,55.50784043,12.85079477,17833,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,,2135,2248,7962,1170,4318,,
chokepoint11,Taiwan Strait,Taiwan Strait,,,,24.72350972,119.8313644,88436,Mineral Products,Vegetable Products,Chemical & Allied Industries,,31190,23626,10901,2313,20406,,
chokepoint12,Korea Strait,Korea Strait,,,,34.13076811,129.209206,82119,Mineral Products,Vegetable Products,Metals,,20682,15163,20256,3286,22732,,
chokepoint13,Tsugaru Strait,Tsugaru Strait,,,,41.32803599,140.3532743,16440,Mineral Products,Vegetable Products,Metals,,3867,4907,2505,718,4443,,
chokepoint14,Luzon Strait,Luzon Strait,,,,20.488890710794,121.352295045579,25748,Mineral Products,Vegetable Products,Wood & Wood Products,,2438,11846,1616,898,8950,,
chokepoint15,Lombok Strait,Lombok Strait,,,,-8.41914514129252,115.801433044024,12918,Mineral Products,Vegetable Products,Chemical & Allied Industries,,70,9566,571,95,2616,,
chokepoint16,Ombai Strait,Ombai Strait,,,,-8.39854120024364,125.090981399512,4084,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,,476,1848,354,51,1355,,
chokepoint17,Bohai Strait,Bohai Strait,,,,38.373044249766,120.900049176636,64100,Mineral Products,Metals,Vegetable Products,,7801,34891,7202,916,13290,,
chokepoint18,Torres Strait,Torres Strait,,,,-9.86253413199954,142.247528743501,3308,Mineral Products,Vegetable Products,Chemical & Allied Industries,,540,1570,365,94,739,,
chokepoint19,Sunda Strait,Sunda Strait,,,,-5.96684057041462,105.775219888066,10393,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,,1141,3873,1088,222,4069,,
chokepoint2,Panama Canal,Panama Canal,,,,9.120512367,-79.76723825,11020,Mineral Products,Vegetable Products,Chemical & Allied Industries,,2712,2412,619,770,4507,,
chokepoint20,Makassar Strait,Makassar Strait,,,,0.352280586988657,119.257065444388,19117,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,,722,15616,826,44,1909,,
chokepoint21,Magellan Strait,Magellan Strait,,,,-52.6403396677892,-69.5948324606974,1426,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,,110,790,100,67,359,,
chokepoint22,Yucatan Channel,Yucatan Channel,,,,21.8152541926988,-85.6472792223515,16416,Mineral Products,Vegetable Products,Chemical & Allied Industries,,3346,2915,1406,347,8402,,
chokepoint23,Windward Passage,Windward Passage,,,,19.9861871932071,-73.6975398964955,5600,Mineral Products,Vegetable Products,Wood & Wood Products,,2696,691,843,604,766,,
chokepoint24,Mona Passage,Mona Passage,,,,18.4487355684237,-67.7113544869163,3714,Mineral Products,Vegetable Products,Chemical & Allied Industries,,1230,913,439,233,899,,
chokepoint25,Balabac Strait,Balabac Strait,,,,7.413614993177675,117.11462168266297,3794,,,,,337,1694,463,14,1286,,
chokepoint26,Bering Strait,Bering Strait,,,,65.96648859155934,-165.54982861145731,294,,,,,23,51,89,3,128,,
chokepoint27,Mindoro Strait,Mindoro Strait,,,,12.468315371959248,120.40342787801248,16493,,,,,584,13455,1086,34,1334,,
chokepoint28,Kerch Strait,Kerch Strait,,,,45.26676309041701,36.54390169965004,10390,,,,,64,527,7163,77,2559,,
chokepoint3,Bosporus Strait,Bosporus Strait,,,,41.16928167,29.09150126,35125,Mineral Products,Vegetable Products,Chemical & Allied Industries,,3015,8058,15233,264,8555,,
chokepoint4,Bab el-Mandeb Strait,Bab el-Mandeb Strait,,,,12.78859715,43.34954476,19306,Mineral Products,Chemical & Allied Industries,Vegetable Products,,5062,5228,1688,904,6424,,
chokepoint5,Malacca Strait,Malacca Strait,,,,1.516954817,102.6651061,71451,Mineral Products,Chemical & Allied Industries,Vegetable Products,,18154,18336,5236,2256,27469,,
chokepoint6,Strait of Hormuz,Strait of Hormuz,,,,26.29685349,56.85984844,32496,Mineral Products,Chemical & Allied Industries,Vegetable Products,,5274,5414,1412,856,19540,,
chokepoint7,Cape of Good Hope,Cape of Good Hope,,,,-34.92728556,20.88273666,21531,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,,3493,11736,968,628,4706,,
chokepoint8,Gibraltar Strait,Gibraltar Strait,,,,35.94227416,-5.754895722,47801,Mineral Products,Vegetable Products,Chemical & Allied Industries,,11698,10466,8088,1883,15666,,
chokepoint9,Dover Strait,Dover Strait,,,,51.03022414,1.505839717,60580,Mineral Products,Chemical & Allied Industries,Vegetable Products,,12535,8224,14577,4118,21126,,
