portid,fullname,portname,country,iso3,continent,lat,lon,vessel_count_total,industry_top1,industry_top2,industry_top3,locode,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_roro,vessel_count_tanker,share_country_maritime_import,share_country_maritime_export
port1065,"Busan, Korea",Busan,Korea,KOR,Asia & Pacific,35.08955067,128.9385952,19994,Mineral Products,Metals,Vegetable Products,KR PUS,12101,686,3347,417,3443,17.35,30.77
port1069,"Qingdao, China",Qingdao,China,CHN,Asia & Pacific,36.02677905,120.2226181,11381,Mineral Products,Chemical & Allied Industries,Vegetable Products,CN QDG,7270,1251,1337,95,1428,6.54,7.98
port1073,"Qiwei, China",Qiwei,China,CHN,Asia & Pacific,31.99831756,120.6176242,5837,Mineral Products,Metals,Vegetable Products,,194,2881,897,4,1861,2.15,0.29
port1114,"Rotterdam, The Netherlands",Rotterdam,The Netherlands,NLD,Europe,51.92228121,4.215144967,32584,Mineral Products,Chemical & Allied Industries,Vegetable Products,NL RTM,7045,1052,5181,2316,16990,76.05,68.1
port1128,"Sakai-Semboku, Japan",Sakai-Semboku,Japan,JPN,Asia & Pacific,34.5578402,135.4223815,9936,Mineral Products,Chemical & Allied Industries,Metals,,99,666,3408,542,5221,2.29,1.93
port1160,"Santos, Brazil",Santos,Brazil,BRA,South America,-23.91706787,-46.33656353,5258,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,BR SSZ,2026,1791,333,167,941,13.47,12.7
port1188,"Shanghai (Pudong), China",Shanghai (Pudong),China,CHN,Asia & Pacific,31.19179536,121.6441968,41093,Mineral Products,Metals,Wood & Wood Products,CN SGH,12110,13770,5162,1743,8308,7.33,10.44
port1201,"Singapore, Singapore",Singapore,Singapore,SGP,Asia & Pacific,1.271989257,103.7074816,44369,Mineral Products,Vegetable Products,Chemical & Allied Industries,SG SIN,13921,810,2039,1322,26277,95.12,95.45
port1252,"Taichung, Taiwan Province of China",Taichung,Taiwan Province of China,TWN,Asia & Pacific,24.25457118,120.5049668,5808,Mineral Products,Metals,Vegetable Products,TW TXG,2668,1219,788,39,1094,23.6,13.52
port1253,"Suzhou (Taicang), China",Suzhou (Taicang),China,CHN,Asia & Pacific,31.68751575,121.137616,8374,Mineral Products,Wood & Wood Products,Vegetable Products,,1516,3116,1915,186,1641,2.8,0.44
port1291,"Saigon, Vietnam",Saigon,Vietnam,VNM,Asia & Pacific,10.73624058,106.766152,9332,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,,5205,805,1748,82,1492,28.54,15.68
port1297,"Tianjin Xin Gang, China",Tianjin Xin Gang,China,CHN,Asia & Pacific,38.9397259,117.7336149,11678,Mineral Products,Chemical & Allied Industries,Vegetable Products,,3747,3572,1537,632,2190,7.03,8.77
port1304,"Tokuyama, Japan",Tokuyama,Japan,JPN,Asia & Pacific,34.03990671,131.7828868,7272,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,JP TKY,484,1126,1317,0,4345,2.03,2.13
port1305,"Tokyo, Japan",Tokyo,Japan,JPN,Asia & Pacific,35.60607114,139.7925781,9502,Mineral Products,Vegetable Products,Wood & Wood Products,,4646,529,1907,1682,738,4.89,7.5
port1338,"Ulsan, Korea",Ulsan,Korea,KOR,Asia & Pacific,35.48647294,129.3780838,11795,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",KR USN,1143,625,936,448,8643,20.51,25.07
port1404,"Xiamen, China",Xiamen,China,CHN,Asia & Pacific,24.46593394,118.0205536,7761,Mineral Products,Vegetable Products,Chemical & Allied Industries,CN XAM,5339,901,954,55,512,2.56,3.43
port1416,"Yokkaichi, Japan",Yokkaichi,Japan,JPN,Asia & Pacific,34.97134904,136.6563083,7678,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",JP YKK,666,365,479,273,5895,1.52,2.18
port1417,"Yokohama, Japan",Yokohama,Japan,JPN,Asia & Pacific,35.42755553,139.6688123,14372,Mineral Products,Vegetable Products,Wood & Wood Products,,4822,969,3691,1520,3370,5.37,7.67
port2027,"Shanghai (Yangshan), China",Shanghai (Yangshan),China,CHN,Asia & Pacific,30.6150855074278,122.074785341805,5266,,,,,4441,127,209,0,489,3.6,7.56
port239,"Chiba, Japan",Chiba,Japan,JPN,Asia & Pacific,35.52513992,140.0523392,13509,Mineral Products,Chemical & Allied Industries,Metals,,168,1004,2370,692,9275,4.68,5.1
port273,"Dalian, China",Dalian,China,CHN,Asia & Pacific,38.9870355,121.770301,6968,Mineral Products,Chemical & Allied Industries,Vegetable Products,CN DAL,2413,908,1069,542,2036,1.45,1.95
port425,"Guangzhou (Nansha), China",Guangzhou (Nansha),China,CHN,Asia & Pacific,23.02754052,113.4836,9654,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,CN GGZ,5528,656,961,607,1902,4.53,6.35
port432,"Gwangyang (Kwangyang), Korea",Gwangyang (Kwangyang),Korea,KOR,Asia & Pacific,34.87669716,127.7165533,9586,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,,2041,852,1754,391,4548,19.75,21.61
port434,"Hai Phong, Vietnam",Hai Phong,Vietnam,VNM,Asia & Pacific,20.84406939,106.7474848,7340,Mineral Products,Vegetable Products,Wood & Wood Products,,3637,314,1822,74,1493,11.65,4.86
port446,"Hamburg, Germany",Hamburg,Germany,DEU,Europe,53.51640056,9.964294338,6740,Mineral Products,Wood & Wood Products,Vegetable Products,DE HAM,3537,398,1284,107,1414,46.26,52.39
port45,"Amsterdam, The Netherlands",Amsterdam,The Netherlands,NLD,Europe,52.41036165,4.819634112,8246,Mineral Products,Chemical & Allied Industries,Vegetable Products,NL AMS,371,448,1675,124,5628,10.4,16.73
port474,"Hong Kong, Hong Kong SAR",Hong Kong,Hong Kong SAR,HKG,Asia & Pacific,22.33510926,114.0966519,16306,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,HK HKG,13076,398,696,210,1926,100.0,100.0
port481,"Houston, United States",Houston,United States,USA,North America,29.72023114,-95.13978774,7358,Mineral Products,Chemical & Allied Industries,Vegetable Products,US HOU,984,735,562,63,5014,8.21,17.78
port493,"Immingham, United Kingdom",Immingham,United Kingdom,GBR,Europe,53.64188521,-0.226276065,5830,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,GB IMM,838,256,723,2177,1836,13.32,8.09
