flag_id,kind,entity,portid,lat,lon,severity,headline,brief_md,metric,value,baseline,pct_change,zscore,as_of,detected_date,source,method,lifecycle,computed_at
25f4a760f2f91733,port_activity_drop,Santos,port1160,-23.91706787,-46.33656353,10,[Resolved] Santos activity 17% below its 28-day norm,"**Santos** port calls fell to **13 port calls** on 2026-05-20, **17% below** its 28-day norm of ~16/day (z = -3.7).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,13.0,15.64,-16.9,-3.67,2026-05-20,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
2e09304a8b7af880,port_activity_drop,Immingham,port493,53.64188521,-0.226276065,13,[Resolved] Immingham activity 23% below its 28-day norm,"**Immingham** port calls fell to **11 port calls** on 2026-05-29, **23% below** its 28-day norm of ~14/day (z = -4.4).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,11.0,14.32,-23.2,-4.36,2026-05-29,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
46b5cae2d229216d,port_activity_drop,Shanghai (Yangshan),port2027,30.6150855074278,122.074785341805,10,[Resolved] Shanghai (Yangshan) activity 54% below its 28-day norm,"**Shanghai (Yangshan)** port calls fell to **7 port calls** on 2026-05-23, **54% below** its 28-day norm of ~15/day (z = -3.8).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,7.0,15.29,-54.2,-3.78,2026-05-23,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
5f8dfd5f87bb1c6e,port_cargo_type_spike,Xiamen,port1404,24.46593394,118.0205536,23,Xiamen container calls 24% above 28-day norm,"**Xiamen** **container** port calls surged to **18/day** on 2026-05-21, **24% above** their 28-day norm of ~14/day (z = +3.8) — by type: dry-bulk +14%, general-cargo -100%.

_Container is this port's dominant type (~71% of calls). The blended port-calls total didn't trip the detector here (total +7% vs norm); isolating the dominant stream surfaces the move. ""Drop/surge"" is inferred from daily port calls, not vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._",portcalls_container,18.0,14.46,24.4,3.75,2026-05-21,2026-06-04,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",ongoing,2026-06-04 11:32:50.553067
64b7d3d2d1359f7b,port_congestion_spike,Qiwei,port1073,31.99831756,120.6176242,15,[Resolved] Qiwei activity 184% above its 28-day norm,"**Qiwei** port calls surged to **29 port calls** on 2026-05-27, **184% above** its 28-day norm of ~10/day (z = +6.9).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,29.0,10.21,183.9,6.93,2026-05-27,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
6e0f51e8d4f5c49a,port_cargo_type_drop,Port Klang,port960,2.972594826,101.3403063,35,Port Klang container calls 39% below 28-day norm,"**Port Klang** **container** port calls fell to **13/day** on 2026-05-17, **39% below** their 28-day norm of ~21/day (z = -5.2) — by type: tanker +21%, general-cargo +112%.

_Container is this port's dominant type (~59% of calls). The blended port-calls total didn't trip the detector here (total -12% vs norm); isolating the dominant stream surfaces the move. ""Drop/surge"" is inferred from daily port calls, not vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_**Port Klang** handles ~44% of Malaysia's maritime imports and ~46% of its exports (IMF national-dependence share). disruption here is systemically significant for Malaysia._",portcalls_container,13.0,21.18,-38.6,-5.18,2026-05-17,2026-06-04,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",ongoing,2026-06-04 11:32:50.553067
7ac1f3a953931378,port_activity_drop,Saigon,port1291,10.73624058,106.766152,14,[Resolved] Saigon activity 21% below its 28-day norm,"**Saigon** port calls fell to **21 port calls** on 2026-05-21, **21% below** its 28-day norm of ~27/day (z = -3.9).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,21.0,26.61,-21.1,-3.88,2026-05-21,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
8e4b4bfda2c11a49,port_activity_drop,Shanghai (Pudong),port1188,31.19179536,121.6441968,36,Shanghai (Pudong) activity 79% below its 28-day norm,"**Shanghai (Pudong)** port calls fell to **18 port calls** on 2026-05-25, **79% below** its 28-day norm of ~86/day (z = -7.1).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._",portcalls_total,18.0,85.96,-79.1,-7.12,2026-05-25,2026-06-04,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",ongoing,2026-06-04 11:32:50.553067
a7c82277206395e4,port_activity_drop,Las Palmas (de Gran Canaria),port635,28.14804985,-15.41136132,8,[Resolved] Las Palmas (de Gran Canaria) activity 39% below its 28-day norm,"**Las Palmas (de Gran Canaria)** port calls fell to **10 port calls** on 2026-05-21, **39% below** its 28-day norm of ~16/day (z = -3.1).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,10.0,16.36,-38.9,-3.07,2026-05-21,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
b1d50dee582d95d2,port_activity_drop,Ningbo,port824,29.92076897,121.8818408,18,[Resolved] Ningbo activity 59% below its 28-day norm,"**Ningbo** port calls fell to **22 port calls** on 2026-05-23, **59% below** its 28-day norm of ~53/day (z = -4.7).

_""Congestion"" here is inferred from a surge/drop in daily port calls, not from direct vessel dwell-time data._

_Method: STL(7,robust) residual + 28d rolling z. Source: IMF PortWatch — daily granularity, refreshed weekly._

_Resolved: this anomaly no longer trips detection; severity decaying._",portcalls_total,22.0,53.29,-58.7,-4.68,2026-05-23,2026-06-03,"IMF PortWatch — daily granularity, refreshed weekly","STL(7,robust) residual + 28d rolling z",resolved,2026-06-03 13:18:34.616227
